output_0,output_1,output_2,output_3,output_4,output_5,output_6,output_7
-0.3079589,-0.70653045,-0.123406984,-0.4073612,0.23952274,0.07088136,0.48920107,-0.35615042
-0.11688404,-0.22583695,0.05635115,0.2530846,0.03463571,-0.310929,0.057184547,0.0033293113
0.2007534,0.0097092725,0.15306759,-0.07212432,-0.037625145,0.10387466,0.14547436,0.02462739
-0.5080749,-0.5617342,0.07034622,0.24544202,-0.5111005,-0.4771812,-0.29320943,-0.2601013
-0.16658242,-0.22420391,0.07085706,0.1665185,-0.040186964,-0.24418233,0.18114883,-0.21953784
-0.10549186,0.30482152,-0.009749696,-0.22555624,-0.34020653,-0.07393762,-0.33949268,-0.053430133
0.28243148,0.26746488,-0.3584063,-0.121671245,0.23631735,-0.15802386,0.1419931,-0.19363897
-0.17723055,0.038477324,0.00040413562,0.05728939,0.065691985,-0.07764633,-0.03774624,0.35253078
-0.24589434,0.2725788,-0.080056645,0.11037902,0.02940023,0.21825972,0.06864474,0.3240963
0.010057779,0.12980598,-0.07024499,-0.06186752,0.04826083,0.027188262,-0.21984237,0.059049558
0.010255492,0.09906236,-0.07304893,-0.050588552,-0.08758292,0.11097318,0.15903719,-0.29923397
-0.4195663,0.030978145,-0.054974347,-0.018817374,0.050863083,-0.0014877758,0.0015840887,0.056201573
0.074661,-0.30879346,0.33127615,-0.089427374,-0.14860903,-0.42994583,-0.21131968,0.028721448
0.10622082,-0.06604075,0.12862074,-0.030511465,-0.12788549,0.010744809,-0.15661973,0.0853062
0.09085149,-0.07479724,0.121119305,0.013457092,-0.008773203,0.0956546,-0.31939152,0.2117427
0.046524093,0.33739838,-0.065064706,0.26384255,-0.025465025,-0.02206531,-0.06414199,0.32207572
0.23571059,0.18714404,-0.13013244,-0.06918658,-0.13566051,0.025401158,0.093097694,0.21443124
-0.032892875,-0.018732363,0.08255996,0.07790219,-0.17388383,-0.3140478,0.08603016,-0.07675843
0.17031471,0.06212633,-0.025409319,-0.047169168,0.021347161,0.16280538,-0.021644218,0.17535175
0.06965483,0.17956762,-0.058101166,-0.046522547,-0.050799605,-0.060694482,0.3080677,-0.053847913
0.06917786,0.40350342,-0.083294176,0.17114668,-0.49288577,0.7692699,-0.5360495,-0.63793296
-0.15238672,0.04200369,0.052814946,-0.004182482,-0.10663251,0.22654794,-0.050553277,-0.13728748
-0.25160456,0.13749388,-0.10303882,-0.13294758,-0.43561104,-0.024156123,-0.00704927,-0.017852163
-0.19998012,0.3993227,-0.065747626,0.076070815,0.23890178,0.04603524,-0.059885606,0.018470276
-0.061958563,0.128419,-0.36004108,-0.56808996,0.30681267,0.3823005,0.12705363,-0.33760747
0.072311796,-0.04410825,0.1387722,0.18601848,0.30514202,0.1606899,0.24412487,0.23753826
0.0031445117,0.07733889,-0.05826233,-0.0821696,-0.03073484,0.35882068,0.115041435,0.057372656
-0.19642751,-0.27450147,-0.23952189,-0.1545727,0.08210462,0.123083055,0.013677861,0.07572971
0.112232834,0.2596456,-0.4082036,-0.05995807,0.017856989,0.098141916,-0.49081624,0.042850167
0.16866042,0.37270424,-0.21073489,0.968248,0.5069931,-0.007074738,0.5332456,0.49396187
-0.106003605,-0.16442591,0.09196894,-0.34600535,-0.18635048,-0.08319619,-0.16487145,0.047642406
-0.053451154,-0.39070615,0.009692894,-0.36426437,0.14254856,-0.4308089,0.18444076,-0.107462645
-0.2891237,-0.08882788,-0.16213901,0.016771372,-0.00825209,0.24982406,0.5070902,-0.35908264
-0.42185757,0.03501703,0.011255778,0.2813306,0.27196607,0.26619,-0.35488316,-0.14710972
-0.010426525,0.01516524,-0.16905819,-0.0085147135,0.011349756,-0.047820427,0.18383768,0.059667546
0.05359723,0.04014651,-0.23313202,-0.0028756524,-0.003216527,0.13706917,0.110168256,0.22411178
0.22278988,-0.19237189,0.18928844,0.17104052,-0.26389652,0.086161315,0.06828699,-0.07922092
-0.3828223,-0.23339345,-0.50623834,-0.0061755176,0.784449,-0.6990348,-0.9598048,-0.100666836
0.03898366,-0.07539024,0.222298,-0.067944646,0.20340645,-0.15238991,0.11719329,-0.18913838
0.07251547,0.22487275,-0.18978864,0.111176066,0.119901024,0.20671749,-0.0514128,-0.3454578
-0.51358473,0.04773729,-0.07894394,0.13512285,-0.06447213,-0.11754312,0.31194395,-0.20383047
